import time: self [us] | cumulative | imported package
import time:       869 |        869 |                     importlib.metadata._collections
import time:       257 |        257 |                     importlib.metadata._itertools
import time:       440 |        440 |                             importlib.resources.abc
import time:       565 |        565 |                             importlib.resources._adapters
import time:      1008 |       2012 |                           importlib.resources._common
import time:       309 |        309 |                           importlib.resources._legacy
import time:       669 |       2989 |                         importlib.resources
import time:        23 |       3011 |                       importlib.resources.abc
import time:      1391 |       4402 |                     importlib.abc
import time:      3391 |      11260 |                   importlib.metadata
import time:       263 |      11522 |                 pygments.plugin
import time:       709 |        709 |                 pygments.util
import time:      2261 |      16981 |               pygments.lexers
import time:       465 |        465 |                   rich._extension
import time:       823 |       1287 |                 rich
import time:      1262 |       1262 |                 dataclasses
import time:       344 |        344 |                   termios
import time:       467 |        811 |                 getpass
import time:      1058 |       1058 |                   html.entities
import time:      1093 |       2150 |                 html
import time:       529 |        529 |                 rich._null_file
import time:       321 |        321 |                 rich.errors
import time:       373 |        373 |                         colorsys
import time:       975 |        975 |                             rich.color_triplet
import time:       722 |       1696 |                           rich.palette
import time:       459 |       2155 |                         rich._palettes
import time:       618 |        618 |                         rich.repr
import time:       366 |        366 |                         rich.terminal_theme
import time:      2434 |       5944 |                       rich.color
import time:      1328 |       7272 |                     rich.style
import time:       968 |       8239 |                   rich.default_styles
import time:      1408 |       1408 |                     configparser
import time:       889 |       2297 |                   rich.theme
import time:       795 |      11330 |                 rich.themes
import time:      1724 |       1724 |                   rich._emoji_codes
import time:      1573 |       3296 |                 rich._emoji_replace
import time:       251 |        251 |                 rich._export_format
import time:       243 |        243 |                 rich._fileno
import time:       325 |        325 |                     rich._loop
import time:       230 |        230 |                     rich._pick
import time:       357 |        357 |                         rich._cell_widths
import time:       614 |        971 |                       rich.cells
import time:       528 |       1498 |                     rich._wrap
import time:      1539 |       1539 |                           rich.segment
import time:       616 |       2155 |                         rich.jupyter
import time:       235 |        235 |                           rich.protocol
import time:       917 |       1152 |                         rich.measure
import time:       697 |       4003 |                       rich.constrain
import time:       563 |       4565 |                     rich.align
import time:       487 |        487 |                     rich.containers
import time:       450 |        450 |                     rich.control
import time:       412 |        412 |                     rich.emoji
import time:      2927 |      10891 |                   rich.text
import time:       793 |      11684 |                 rich._log_render
import time:       418 |        418 |                 rich.highlighter
import time:      1705 |       1705 |                 rich.markup
import time:       304 |        304 |                 rich.pager
import time:        82 |         82 |                   array
import time:       400 |        400 |                       attr._compat
import time:       267 |        267 |                         attr._config
import time:       304 |        304 |                           attr.exceptions
import time:       585 |        888 |                         attr.setters
import time:      2845 |       4000 |                       attr._make
import time:      1160 |       5559 |                     attr.converters
import time:       291 |        291 |                     attr.filters
import time:      3534 |       3534 |                     attr.validators
import time:       419 |        419 |                     attr._cmp
import time:       311 |        311 |                     attr._funcs
import time:       309 |        309 |                     attr._next_gen
import time:       569 |        569 |                     attr._version_info
import time:      1578 |      12567 |                   attr
import time:       286 |        286 |                   rich.abc
import time:      6065 |      18999 |                 rich.pretty
import time:       761 |        761 |                 rich.region
import time:       408 |        408 |                     rich.box
import time:       361 |        361 |                     rich.padding
import time:       802 |       1570 |                   rich.panel
import time:      1910 |       1910 |                           _decimal
import time:       343 |       2252 |                         decimal
import time:       894 |       3146 |                       fractions
import time:       836 |       3981 |                     rich._ratio
import time:      4238 |       8219 |                   rich.table
import time:       955 |      10743 |                 rich.scope
import time:       332 |        332 |                 rich.screen
import time:       278 |        278 |                 rich.styled
import time:      9618 |      76314 |               rich.console
